,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1650182170.204936,66603.0,5059.032,6736.884,1477.6979999999999,"{'root--consul': 4.0, 'root--frontend': 4.0, 'root--geo': 10.55, 'root--jaeger': 5.766666666666667, 'root--memcached-profile': 12.166666666666666, 'root--memcached-rate': 10.533333333333333, 'root--memcached-reserve': 1.1, 'root--mongodb-geo': 10.6, 'root--mongodb-profile': 3.3, 'root--mongodb-rate': 3.55, 'root--mongodb-recommendation': 11.583333333333334, 'root--mongodb-reservation': 10.833333333333334, 'root--mongodb-user': 4.566666666666666, 'root--profile': 10.166666666666666, 'root--rate': 3.216666666666667, 'root--recommendation': 4.783333333333333, 'root--reservation': 10.933333333333334, 'root--search': 12.183333333333334, 'root--user': 6.65}",1650182170.204936,1650182200.2730994
1650182200.2742774,87385.0,650.273,862.88,151.22799999999998,"{'root--consul': 4.0, 'root--frontend': 4.0, 'root--geo': 11.0, 'root--jaeger': 6.0, 'root--memcached-profile': 14.0, 'root--memcached-rate': 12.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 3.0, 'root--mongodb-rate': 3.0, 'root--mongodb-recommendation': 14.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 5.0, 'root--profile': 12.0, 'root--rate': 3.0, 'root--recommendation': 5.0, 'root--reservation': 12.0, 'root--search': 15.0, 'root--user': 8.0}",1650182200.2742774,1650182230.3193026
1650182230.3199651,86250.0,152.501,922.447,292.955,"{'root--consul': 4.0, 'root--frontend': 4.0, 'root--geo': 11.0, 'root--jaeger': 6.0, 'root--memcached-profile': 14.0, 'root--memcached-rate': 12.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 3.0, 'root--mongodb-rate': 3.0, 'root--mongodb-recommendation': 14.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 5.0, 'root--profile': 12.0, 'root--rate': 3.0, 'root--recommendation': 5.0, 'root--reservation': 12.0, 'root--search': 15.0, 'root--user': 8.0}",1650182230.3199651,1650182260.86617
1650182260.8668444,86238.0,1035.097,1178.853,177.977,"{'root--consul': 4.0, 'root--frontend': 4.0, 'root--geo': 11.0, 'root--jaeger': 6.0, 'root--memcached-profile': 14.0, 'root--memcached-rate': 12.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 3.0, 'root--mongodb-rate': 3.0, 'root--mongodb-recommendation': 14.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 5.0, 'root--profile': 12.0, 'root--rate': 3.0, 'root--recommendation': 5.0, 'root--reservation': 12.0, 'root--search': 15.0, 'root--user': 8.0}",1650182260.8668444,1650182290.9116712
1650182290.9123511,89308.0,60.35,110.654,9.31,"{'root--consul': 4.0, 'root--frontend': 4.0, 'root--geo': 11.0, 'root--jaeger': 6.0, 'root--memcached-profile': 14.0, 'root--memcached-rate': 12.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 3.0, 'root--mongodb-rate': 3.0, 'root--mongodb-recommendation': 14.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 5.0, 'root--profile': 12.0, 'root--rate': 3.0, 'root--recommendation': 5.0, 'root--reservation': 12.0, 'root--search': 15.0, 'root--user': 8.0}",1650182290.9123511,1650182321.4446216
1650182321.4453342,89121.0,69.689,169.665,47.952,"{'root--consul': 5.75, 'root--frontend': 4.616666666666666, 'root--geo': 10.266666666666667, 'root--jaeger': 11.25, 'root--memcached-profile': 9.6, 'root--memcached-rate': 6.8, 'root--memcached-reserve': 3.9166666666666665, 'root--mongodb-geo': 15.25, 'root--mongodb-profile': 5.2, 'root--mongodb-rate': 3.5833333333333335, 'root--mongodb-recommendation': 8.5, 'root--mongodb-reservation': 7.9, 'root--mongodb-user': 5.483333333333333, 'root--profile': 7.05, 'root--rate': 3.0, 'root--recommendation': 9.583333333333334, 'root--reservation': 9.8, 'root--search': 10.6, 'root--user': 11.033333333333333}",1650182321.4453342,1650182351.484134
1650182351.484882,89320.0,59.44,110.163,1.3119999999999998,"{'root--consul': 7.0, 'root--frontend': 5.0, 'root--geo': 10.0, 'root--jaeger': 15.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 6.0, 'root--mongodb-geo': 19.0, 'root--mongodb-profile': 7.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 7.0, 'root--mongodb-user': 6.0, 'root--profile': 3.0, 'root--rate': 3.0, 'root--recommendation': 14.0, 'root--reservation': 8.0, 'root--search': 7.0, 'root--user': 14.0}",1650182351.484882,1650182381.5174403
1650182381.5181484,89323.0,65.287,116.348,1.392,"{'root--consul': 7.0, 'root--frontend': 5.0, 'root--geo': 10.0, 'root--jaeger': 15.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 6.0, 'root--mongodb-geo': 19.0, 'root--mongodb-profile': 7.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 7.0, 'root--mongodb-user': 6.0, 'root--profile': 3.0, 'root--rate': 3.0, 'root--recommendation': 14.0, 'root--reservation': 8.0, 'root--search': 7.0, 'root--user': 14.0}",1650182381.5181484,1650182411.567767
1650182411.568445,89321.0,53.707,106.365,1.39,"{'root--consul': 7.0, 'root--frontend': 5.0, 'root--geo': 10.0, 'root--jaeger': 15.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 6.0, 'root--mongodb-geo': 19.0, 'root--mongodb-profile': 7.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 7.0, 'root--mongodb-user': 6.0, 'root--profile': 3.0, 'root--rate': 3.0, 'root--recommendation': 14.0, 'root--reservation': 8.0, 'root--search': 7.0, 'root--user': 14.0}",1650182411.568445,1650182441.6232386
1650182441.6239164,89309.0,68.971,107.262,1.376,"{'root--consul': 7.0, 'root--frontend': 5.0, 'root--geo': 10.0, 'root--jaeger': 15.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 6.0, 'root--mongodb-geo': 19.0, 'root--mongodb-profile': 7.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 7.0, 'root--mongodb-user': 6.0, 'root--profile': 3.0, 'root--rate': 3.0, 'root--recommendation': 14.0, 'root--reservation': 8.0, 'root--search': 7.0, 'root--user': 14.0}",1650182441.6239164,1650182472.163088
